%  ' depth(m)'	   'Vp'		'Vs'	   'rho'	'GR'	    'nphi' 
   2217.4688      2.7486      1.1115      2.2365     80.3724       .3527
   2217.6211      2.7008      1.0559      2.2257     77.5660       .3351
   2217.7737      2.6444      1.0499      2.1849     73.5445       .3103
   2217.9260      2.5945      1.0593      2.1501     71.2271       .2987
   2218.0784      2.6305      1.0593      2.1399     70.1043       .3215
   2218.2307      2.6210      1.0398      2.1569     74.0709       .3530
   2218.3833      2.6100      1.1338      2.1796     77.8990       .3898
   2218.5356      2.6777      1.1402      2.1924     81.3943       .4076
   2218.6880      2.6587      1.0355      2.1816     76.8075       .4130
   2218.8403      2.5262      1.0355      2.2061     76.8762       .3807
   2218.9929      2.5368      1.0050      2.1956     76.5535       .3753
   2219.1453      2.5286      1.0192      2.1531     79.7287       .3881
   2219.2976      2.5614      1.0376      2.1348     78.5480       .3927
   2219.4500      2.5756      1.0502      2.1502     74.7687       .3681
   2219.6023      2.6162      1.0502      2.1583     79.1893       .3454
   2219.7549      2.8327      1.0701      2.1575     83.1338       .3813
   2219.9072      3.0000      1.1329      2.1621     88.0259       .3940
   2220.0596      2.6965      1.0597      2.1803     87.1909       .3870
   2220.2119      2.6169      1.0471      2.1903     82.8871       .3392
   2220.3645      2.6040      1.0262      2.1988     78.2965       .3273
   2220.5168      2.6339      1.0262      2.1784     72.4959       .3206
   2220.6692      2.5399       .9514      2.1756     71.0687       .3205
   2220.8215      2.5344       .8482      2.1689     73.4660       .3378
   2220.9741      2.4587       .8667      2.1682     80.3504       .3624
   2221.1265      2.4953       .8604      2.1424     81.2894       .3698
   2221.2788      2.5102       .8604      2.1543     78.8539       .3572
   2221.4312      2.5824       .8532      2.1705     77.3578       .3600
   2221.5835      2.6171      1.2347      2.1882     77.3789       .3914
   2221.7361      2.7118      1.2958      2.2012     79.8483       .4348
   2221.8884      2.9135      1.3084      2.1935     77.2596       .4044
   2222.0408      2.9386      1.3084      2.1685     75.0067       .3696
   2222.1931      2.9472      1.2324      2.1496     70.7763       .3288
   2222.3457      2.9043      1.2441      2.1486     66.1758       .3164
   2222.4980      2.8241      1.2598      2.1670     64.4621       .3078
   2222.6504      2.7738      1.2548      2.2026     66.4284       .3018
   2222.8027      2.7928      1.2504      2.2312     66.4722       .3221
   2222.9551      2.8053      1.2504      2.2373     70.9150       .3260
   2223.1077      2.7790      1.2469      2.2188     70.9688       .3228
   2223.2600      2.7706      1.2328      2.1900     72.0013       .3204
   2223.4124      2.7471      1.2236      2.1473     68.0768       .3254
   2223.5647      2.7261      1.2393      2.1204     66.7905       .3317
   2223.7173      2.6867      1.2411      2.1073     65.7937       .3247
   2223.8696      2.7142      1.2411      2.1067     66.3485       .3248
   2224.0220      2.7294      1.2446      2.1035     63.1522       .3300
   2224.1743      2.7256      1.2427      2.1000     62.5863       .3332
   2224.3269      2.7254      1.2570      2.0957     62.2366       .3376
   2224.4792      2.6721      1.2358      2.1052     62.6651       .3379
   2224.6316      2.6901      1.2358      2.1084     64.4594       .3380
   2224.7839      2.7683      1.2004      2.1136     63.6916       .3215
   2224.9363      2.8380      1.1591      2.1150     66.2665       .3158
   2225.0889      2.9094      1.1693      2.1227     63.9323       .3103
   2225.2412      2.9241      1.2624      2.1231     64.8798       .3203
   2225.3936      2.9501      1.2907      2.1313     66.1263       .3332
   2225.5459      2.9533      1.2907      2.1313     68.2549       .3418
   2225.6985      2.9829      1.3790      2.1416     67.9782       .3466
   2225.8508      3.0350      1.4553      2.1568     66.1223       .3307
   2226.0032      3.0494      1.4575      2.1758     64.6707       .3163
   2226.1555      3.0656      1.4851      2.1886     65.4344       .3128
   2226.3081      3.1019      1.5013      2.1910     64.7421       .3210
   2226.4604      3.1141      1.5013      2.1929     67.0727       .3122
   2226.6128      3.1226      1.4999      2.1995     65.5776       .2869
   2226.7651      3.1459      1.5029      2.1946     67.4113       .2721
   2226.9175      3.1097      1.5299      2.1857     66.0703       .2744
   2227.0701      3.1846      1.5409      2.1783     66.8238       .2887
   2227.2224      3.2309      1.5691      2.1699     66.2414       .2883
   2227.3748      3.2311      1.5691      2.1671     65.5381       .3076
   2227.5271      3.2714      1.6223      2.1859     66.8543       .3106
   2227.6797      3.1561      1.6200      2.2702     68.5353       .2934
   2227.8320      3.1603      1.5150      2.3780     71.2081       .2639
   2227.9844      3.0931      1.4989      2.4237     71.8391       .2553
   2228.1367      3.0749      1.5082      2.3199     68.0122       .2737
   2228.2893      3.0697      1.5082      2.2264     66.9291       .2976
   2228.4417      3.0422      1.4516      2.1675     65.4752       .2999
   2228.5940      2.9962      1.2435      2.1586     66.4501       .2926
   2228.7463      2.9450      1.2433      2.1565     65.9442       .2830
   2228.8987      2.9410      1.2589      2.1480     65.7385       .2771
   2229.0513      2.9774      1.2587      2.1435     67.3536       .2811
   2229.2036      2.9880      1.2587      2.1511     66.4192       .2839
   2229.3560      3.0256      1.2804      2.1656     65.9828       .2945
   2229.5083      3.0452      1.3222      2.1673     66.7934       .2969
   2229.6609      3.0568      1.3792      2.1767     68.5081       .2940
   2229.8132      3.0324      1.3768      2.1877     72.2615       .2865
   2229.9656      2.9639      1.1968      2.1901     73.0328       .2980
   2230.1179      2.8952      1.1968      2.1807     72.9089       .2992
   2230.2705      2.8106      1.1731      2.1536     69.9905       .3159
   2230.4229      2.7759      1.4326      2.1325     66.5760       .2998
   2230.5752      2.7578      1.4637      2.1261     65.8640       .3088
   2230.7275      2.7721      1.4468      2.1259     67.7833       .3062
   2230.8799      2.7447      1.3661      2.1299     67.8847       .3163
   2231.0325      2.6858      1.3661      2.1278     68.8816       .3227
   2231.1848      2.6369      1.2826      2.1209     66.4951       .3329
   2231.3372      2.7028      1.2418      2.1126     70.2314       .3419
   2231.4895      2.6844      1.1823      2.1281     71.5652       .3419
   2231.6421      2.7191      1.2096      2.1627     75.4153       .3476
   2231.7944      2.6860      1.0433      2.2051     76.2504       .3426
   2231.9468      2.7485      1.0416      2.2127     79.8509       .3410
   2232.0991      2.7218      1.0609      2.2078     77.0032       .3293
   2232.2517      2.7265      1.3848      2.2076     81.3556       .3420
   2232.4041      2.7397      1.3422      2.2119     78.6319       .3403
   2232.5564      2.7792      1.3044      2.1818     78.7004       .3287
   2232.7087      2.6831      1.2331      2.1502     75.0723       .3097
   2232.8611      2.6350      1.2331      2.1422     73.0302       .3201
   2233.0137      2.5190      1.1565      2.1592     75.0622       .3500
   2233.1660      2.4887       .9592      2.1776     72.1866       .3656
   2233.3184      2.4048       .9595      2.1799     74.5708       .3667
   2233.4707      2.3454       .9425      2.1793     78.2414       .3395
   2233.6233      2.2756       .9298      2.1769     84.5056       .3438
   2233.7756      2.2855       .9311      2.0984     88.2220       .3570
   2233.9280      2.3527      1.0867      2.0263     88.5648       .4333
   2234.0803      2.4127      1.1299      1.9682     88.2220       .4523
   2234.2329      2.4231      1.1535      2.0214     86.2132       .4473
   2234.3853      2.4297      1.0509      2.0727     82.6488       .4063
   2234.5376      2.3954       .8652      2.1268     78.2879       .3977
   2234.6899      2.3116       .8652      2.1403     79.7886       .3938
   2234.8423      2.3045       .8841      2.1522     80.5728       .3835
   2234.9949      2.2772       .8332      2.1616     81.2903       .3726
   2235.1472      2.2758       .7867      2.1641     77.8227       .3851
   2235.2996      2.2795       .8551      2.1630     78.2794       .3977
   2235.4519      2.3376       .9401      2.1728     78.6473       .4134
   2235.6045      2.3690       .9401      2.1824     81.8004       .4293
   2235.7568      2.4319       .9809      2.1902     82.8741       .4490
   2235.9092      2.5139       .9852      2.1875     83.8386       .4394
   2236.0615      2.5227      1.0898      2.1752     82.2464       .4201
   2236.2141      2.7144      1.1130      2.1372     76.6671       .3940
   2236.3665      2.7442      1.1051      2.1049     71.0953       .3889
   2236.5188      2.6791      1.1234      2.0810     64.6921       .3629
   2236.6711      2.6936      1.1234      2.0821     65.1887       .3451
   2236.8235      2.6934      1.2214      2.0827     64.3895       .3243
   2236.9761      2.7149      1.2587      2.0844     65.6800       .3283
   2237.1284      2.6912      1.2508      2.0877     63.6378       .3303
   2237.2808      2.7286      1.4370      2.0943     64.3424       .3438
   2237.4331      2.7185      1.4370      2.0995     62.7531       .3469
   2237.5857      2.7112      1.4051      2.1081     62.2166       .3407
   2237.7380      2.7138      1.3927      2.1122     61.8196       .3350
   2237.8904      2.7354      1.4395      2.1132     64.4111       .3186
   2238.0427      2.7780      1.4302      2.1080     66.6046       .3225
   2238.1953      2.8222      1.3692      2.1063     67.3950       .3058
   2238.3477      2.9229      1.3692      2.1029     65.8003       .3175
   2238.5000      2.8732      1.4181      2.1105     65.5745       .3195
   2238.6523      2.7914      1.3125      2.1173     67.4859       .3431
   2238.8047      2.7357      1.2919      2.1315     68.1725       .3280
   2238.9573      2.7024      1.2084      2.1374     68.4245       .3267
   2239.1096      2.6328      1.0200      2.1403     68.4294       .3124
   2239.2620      2.5739      1.0200      2.1485     70.9816       .3181
   2239.4143      2.5741       .9821      2.1652     77.1598       .3626
   2239.5669      2.6377      1.0316      2.1829     85.2448       .4122
   2239.7192      2.6791      1.1446      2.2165     90.1259       .4588
   2239.8716      2.7299      1.2908      2.2372     90.7093       .4248
   2240.0239      2.7757      1.3826      2.2477     86.1518       .3833
   2240.1765      2.8157      1.3826      2.2086     80.5724       .3445
   2240.3289      2.8308      1.3914      2.1538     72.0829       .3372
   2240.4812      2.8392      1.3998      2.1178     66.5828       .3404
   2240.6335      2.8344      1.2552      2.1120     64.1465       .3406
   2240.7859      2.8840      1.2499      2.1136     64.7271       .3322
   2240.9385      2.9106      1.2494      2.1184     63.3306       .3268
   2241.0908      2.8785      1.2494      2.1195     62.3875       .3245
   2241.2432      2.8745      1.2041      2.1264     62.6419       .3185
   2241.3955      2.8694      1.1546      2.1247     64.1812       .3171
   2241.5481      2.8582      1.3490      2.1327     65.3997       .3025
   2241.7004      2.8510      1.3656      2.1257     65.1649       .3145
   2241.8528      2.8230      1.4589      2.1214     63.6485       .3163
   2242.0051      2.8277      1.4589      2.1132     62.1916       .3276
   2242.1577      2.8079      1.4627      2.1163     62.9379       .3240
   2242.3101      2.7610      1.3109      2.1221     64.1754       .3307
   2242.4624      2.7299      1.4938      2.1326     66.1364       .3360
